Domain,Prompt,Perplexity
history,"Compare the causes and effects of the American and French Revolutions, focusing on economic, social, and philosophical factors. How did Enlightenment ideals shape both?",10.674278320682351
history,"Discuss how World War I led to the decline of empires, such as the Austro-Hungarian and Ottoman Empires. What role did colonialism play in this process?",6.055140688601945
history,"Analyze the influence of the Silk Road on cultural, technological, and religious exchanges between East and West. How did it evolve during the Tang and Mongol periods?",10.010880506127727
history,"Explain how the Cold War impacted global politics, economics, and technology, comparing the strategies of the US and USSR in the Space Race and nuclear arms development.",14.711263351269688
history,Examine the role of women in leadership and military roles during ancient and medieval times. Compare this with women's involvement in leadership during World War II.,15.842799410657085
technology,"Assess the impact of the internet on the development of global economies and cultures, comparing it to the impact of the printing press in the 16th century.",9.115708047356511
technology,"Discuss the ethical implications of AI in decision-making across fields such as healthcare, law enforcement, and autonomous vehicles. How might biases in algorithms be addressed?",13.246275154787497
technology,Compare the evolution of communication technologies from the telegraph to 5G networks. How have these developments affected global information dissemination and geopolitics?,19.348779029558074
technology,"Analyze how renewable energy technologies, like solar and wind power, are reshaping global energy markets. What challenges and opportunities do they present compared to fossil fuels?",11.74111865328374
technology,"Evaluate the potential of quantum computing in cybersecurity. How does it differ from traditional encryption methods, and what are the risks and benefits?",11.977116780172796
medicine,Compare the evolution of vaccine development from the discovery of smallpox vaccination to mRNA technology in COVID-19. What challenges have arisen in vaccine distribution?,16.1547121410079
medicine,"Discuss the role of genomics in personalized medicine. How does it differ from traditional treatments, and what ethical concerns does it raise?",10.432387518565026
medicine,"Analyze the impact of antibiotic resistance on global health. How have practices in medicine and agriculture contributed to this problem, and what solutions exist?",12.000907262290797
medicine,Examine the relationship between mental health awareness and public health policies over the past 50 years. How have societal attitudes toward mental illness evolved?,11.126911212351503
medicine,"Evaluate the potential of CRISPR technology in treating genetic disorders. Compare its effectiveness with other gene therapies, and discuss ethical considerations.",16.198907781105305
