Domain,Prompt,Perplexity
history,"Compare the causes and effects of the American and French Revolutions, focusing on economic, social, and philosophical factors. How did Enlightenment ideals shape both?",18.689891330898508
history,"Discuss how World War I led to the decline of empires, such as the Austro-Hungarian and Ottoman Empires. What role did colonialism play in this process?",6.9794527721642545
history,"Analyze the influence of the Silk Road on cultural, technological, and religious exchanges between East and West. How did it evolve during the Tang and Mongol periods?",16.210150451602498
history,"Explain how the Cold War impacted global politics, economics, and technology, comparing the strategies of the US and USSR in the Space Race and nuclear arms development.",19.911818650766996
history,Examine the role of women in leadership and military roles during ancient and medieval times. Compare this with women's involvement in leadership during World War II.,24.26645685214144
technology,"Assess the impact of the internet on the development of global economies and cultures, comparing it to the impact of the printing press in the 16th century.",9.826975596335625
technology,"Discuss the ethical implications of AI in decision-making across fields such as healthcare, law enforcement, and autonomous vehicles. How might biases in algorithms be addressed?",12.128615284763725
technology,Compare the evolution of communication technologies from the telegraph to 5G networks. How have these developments affected global information dissemination and geopolitics?,27.750877459907546
technology,"Analyze how renewable energy technologies, like solar and wind power, are reshaping global energy markets. What challenges and opportunities do they present compared to fossil fuels?",11.004436415256055
technology,"Evaluate the potential of quantum computing in cybersecurity. How does it differ from traditional encryption methods, and what are the risks and benefits?",13.876408028959746
medicine,Compare the evolution of vaccine development from the discovery of smallpox vaccination to mRNA technology in COVID-19. What challenges have arisen in vaccine distribution?,28.996353927483728
medicine,"Discuss the role of genomics in personalized medicine. How does it differ from traditional treatments, and what ethical concerns does it raise?",9.850348337494738
medicine,"Analyze the impact of antibiotic resistance on global health. How have practices in medicine and agriculture contributed to this problem, and what solutions exist?",16.434772685789248
medicine,Examine the relationship between mental health awareness and public health policies over the past 50 years. How have societal attitudes toward mental illness evolved?,18.786909141366106
medicine,"Evaluate the potential of CRISPR technology in treating genetic disorders. Compare its effectiveness with other gene therapies, and discuss ethical considerations.",15.512712974959102
